,,Item Classification,,,,Attribute Classification,,,,,,Connection with Alliance companies validation items,,,Structure of Evaluation item (Japanese),,,,,,,,,,Structure of Evaluation item (English),,,,,,,,,,Application,,,Deployment,,,,,,,,Achievement,,,,,,,,Digital Phase Evaluation,,,,,,,,,,,,,,,,,,,,Physical Phase Confirmation,,,,,,,,,,,,,,,,,Physical Phase Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Market,USA,USA,USA,CANADA,CANADA,CANADA,,
,,,,,,,,,,,,,,,Performance Targets,,Vehicle Targets,,,Component Targets,,,,,Performance Targets,,Vehicle Targets,,,Component Targets,,,,,Development pattern,,,Section name,,Person in charge,,,,,,Section name,,Person in charge,,,,,,Digital,,,,,,,,,,,,,,,,,,,,Physical Confirmation,,,,,,,,,,,,,,,,,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engine,7DQ,7DQ,7DQ,7DQ,7DQ,7DQ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section name,,Person in charge,,,,DS,,,,,,,DC,,,,,,,Section name,,Person in charge,,,,PFC,,,,,,,,,,,Section name,,Person in charge,,,,VC,,,,,,,,,,PT1,,,,,,,,,,PT2,,,,,,,,,,,Gearbox,ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),ATM (FOR EV),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evaluation result,,,,,,,Evaluation result,,,,,,,,,,,,,PLAN,,Evaluation result,,,,,,,,,,,,,,,PLAN,Evaluation result,,,,,,,,,PLAN,Evaluation result,,,,,,,,,PLAN,Evaluation result,,,,,,,,,Axle,2WD,AWD,AWD,2WD,AWD,AWD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First time,,,,Counter Measures,,,First time,,,,Counter Measures,,,,,,,,,,,First time,,,,,Counter Measures,,,,,,,,,,,First time,,,,,Counter Measures,,,,,First time,,,,,Counter Measures,,,,,First time,,,,,Counter Measures,,,,Handle,LHD,LHD,LHD,LHD,LHD,LHD,,
Actions,CADICS No.,SNT,Regulations,PEP,Other,Good Design,Y0,Y0 No.,CAR recurrence prevention,Solution,Solution No.,Common Validation item,Procedure,Requirement,Step 1,Step 2,Step 1,Step 2,Step 3,Level 1,Level 2,Level 3,Level 4,Comment,Step 1,Step 2,Step 1,Step 2,Step 3,Level 1,Level 2,Level 3,Level 4,Comment,Digital evaluation,PF evaluation,Physical evaluation,KCA Project group,Team,Manager name,ID or Mail account,Name of person in charge,ID or Mail account,Target value,Comment,KCA Project group,Team,Manager name,ID or Mail account,Name of person in charge,ID or Mail account,Agreement of target,Comment,KCA Project group,Team,Manager name,ID or Mail account,Evaluation Responsible,ID or Mail account,Evaluate or not,Result(OK/NOK),Report No.,	Number of Q-BASE,Q-BASE number,Result(OK/NOK),Comment,Evaluate or not,Result(OK/NOK),Report No.,	Number of Q-BASE,Q-BASE number,Result(OK/NOK),Comment,KCA Project group,Team,Manager name,ID or Mail account,Evaluation Responsible,ID or Mail account,Evaluate or not,Confirmation first time date,Feedback timing,Result(OK/NOK),Confirmation completion date,Report No.,Number of Q-BASE,Q-BASE number,Result(OK/NOK),Confirmation completion date,Comment,KCA Project group,Team,Manager name,ID or Mail account,Evaluation Responsible,ID or Mail account,Evaluate or not,Confirmation first time date,Result(OK/NOK),Confirmation completion date,Report No.,Number of Q-BASE,Q-BASE number,Result(OK/NOK),Confirmation completion date,Comment,Evaluate or not,Confirmation first time date,Result(OK/NOK),Confirmation completion date,Report No.,Number of Q-BASE,Q-BASE number,Result(OK/NOK),Confirmation completion date,Comment,Evaluate or not,Confirmation first time date,Result(OK/NOK),Confirmation completion date,Report No.,Number of Q-BASE,Q-BASE number,Result(OK/NOK),Confirmation completion date,Comment,Common or unique applied validation,Lead Company,CONF-001,CONF-002,CONF-003,CONF-004,CONF-005,CONF-006,,
,MSTR-002-0001300,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_K(動力運転性)_UE2.xlsx,,,,,,YES,,,,,,,,,,ascd: w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,MSTR-002-0001300_d0001,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_K(動力運転性)_UE2.xlsx,,,,,,YES,,,,,,,,,ascd: w,YES,,,,,,,,,ascd: w,,,,,,,,,,,,,1,*,*,*,*,*,,
,MSTR-002-0001400,BBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_K(動力運転性)_UE2.xlsx,,,,,,YES,,,,,,,,,,ascd: w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,MSTR-002-0001400_d0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_K(動力運転性)_UE2.xlsx,,,,,,YES,,,,,,,,,ascd: w,YES,,,,,,,,,ascd: w,,,,,,,,,,,,,1,*,*,*,*,*,,
,MSTR-002-0001500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関連表1_K(動力運転性)_UE2.xlsx,,,,,,YES,,,,,,,,,,ascd: w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
